Urban Vegetation,Urban Vegetation,Urban Vegetation,Urban Vegetation,Urban Vegetation,,Woodland,Woodland,Woodland,,,,,,Open Forest,Open Forest,Woodland,Woodland,,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Open Forest,Woodland,Open Forest,Open Forest,Open Forest,,,,,,Urban Vegetation,,,,,,,,,Urban Vegetation,Urban Vegetation,,
Urban Vegetation,Urban Vegetation,Urban Vegetation,Urban Vegetation,,,Urban Vegetation,,,Open Forest,,,,,Open Forest,Open Forest,,Open Forest,Forest,Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Forest,Open Forest,,,,,,,,,,,,,,Urban Vegetation,Urban Vegetation,Urban Vegetation,,
,,,Urban Vegetation,,,,,,Open Forest,Open Forest,,,Open Forest,Open Forest,Open Forest,Open Forest,Forest,Forest,Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Forest,Forest,Open Forest,,,,,,,,,,,,,,,Urban Vegetation,,,
,,,,,,,,,Urban Vegetation,Open Forest,Open Forest,Open Forest,Open Forest,Woodland,Forest,Forest,Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,Forest,Forest,Open Forest,Open Forest,Open Forest,Open Forest,,,,,,,,,,,,,,,,Urban Vegetation,,Urban Vegetation,
,,,,,,,,,Urban Vegetation,,Open Forest,,,Open Forest,Forest,Forest,Forest,Open Forest,Open Forest,Open Forest,Forest,Open Forest,Open Forest,Open Forest,Forest,Open Forest,,Woodland,Woodland,Woodland,,,,,,,,,,,,,,,,,Urban Vegetation,Urban Vegetation,
,Urban Vegetation,,,,,,,,Urban Vegetation,Urban Vegetation,,,Open Forest,Forest,Forest,Open Forest,Open Forest,Forest,Forest,Forest,Forest,Forest,Open Forest,,Woodland,,,Woodland,Woodland,,Urban Vegetation,,,,,,,,,,,,,,,,Urban Vegetation,,
,,,,,,,,,Urban Vegetation,,Open Forest,,Open Forest,Forest,Forest,Open Forest,Open Forest,Forest,Forest,Forest,Forest,Forest,Open Forest,,,,Woodland,Woodland,Woodland,,,,,,,,Urban Vegetation,Urban Vegetation,Urban Vegetation,,,,,,,Urban Vegetation,,,
,,Urban Vegetation,,,,,,,,,Open Forest,Open Forest,,Open Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Open Forest,Open Forest,Woodland,Woodland,Woodland,Woodland,Urban Vegetation,Urban Vegetation,Urban Vegetation,,Urban Vegetation,,,,,,,,,,,,Urban Vegetation,,,
,,,,,,,,Woodland,,Open Forest,Open Forest,Open Forest,Open Forest,Open Forest,,,Open Forest,Forest,Forest,Open Forest,Open Forest,Woodland,Woodland,,Woodland,Woodland,Woodland,,Woodland,Urban Vegetation,Urban Vegetation,Urban Vegetation,,,,,,,,,Urban Vegetation,Urban Vegetation,,,Urban Vegetation,Urban Vegetation,,,
,,,Open Forest,,,,,Woodland,,Open Forest,Open Forest,Forest,Forest,Open Forest,Open Forest,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Woodland,Open Forest,,Woodland,,Open Forest,Woodland,,,,,,,,,,,,Urban Vegetation,Urban Vegetation,,,,,,
